name,tab,game_id,region,challenge
Surge Protector,adventure,lightning_rod_with_villager_no_fire,Overworld,
Caves & Cliffs,adventure,fall_from_world_height,Overworld,
Respecting the Remnants,adventure,salvage_sherd,Overworld,
Sneak 100,adventure,avoid_vibration,Overworld,
Sweet Dreams,adventure,sleep_in_bed,Overworld,
Hero of the Village,adventure,hero_of_the_village,Overworld,
Is It a Balloon?,adventure,spyglass_at_ghast,Nether,
A Throwaway Joke,adventure,throw_trident,Overworld,
It Spreads,adventure,kill_mob_near_sculk_catalyst,Overworld,
Take Aim,adventure,shoot_arrow,Overworld,
Monsters Hunted,adventure,kill_all_mobs,Overworld,
Postmortal,adventure,totem_of_undying,Overworld,
Mob Kabob,adventure,spear_many_mobs,Overworld,
Hired Help,adventure,summon_iron_golem,Overworld,
Star Trader,adventure,trade_at_world_height,Overworld,
Smithing with Style,adventure,trim_with_all_exclusive_armor_patterns,Overworld,
Two Birds One Arrow,adventure,two_birds_one_arrow,Overworld,
Who's the Pillager Now?,adventure,whos_the_pillager_now,Overworld,
Arbalistic,adventure,arbalistic,Overworld,True
Careful Restoration,adventure,craft_decorated_pot_using_only_sherds,Overworld,
Adventuring Time,adventure,adventuring_time,Overworld,
Sound of Music,adventure,play_jukebox_in_meadows,Overworld,
Light as a Rabbit,adventure,walk_on_powder_snow_with_leather_boots,Overworld,
Is It a Plane?,adventure,spyglass_at_dragon,The End,
Very Very Frightening,adventure,very_very_frightening,Overworld,
Sniper Duel,adventure,sniper_duel,Overworld,
Bullseye,adventure,bullseye,Overworld,
Isn't It Scute?,adventure,brush_armadillo,Overworld,
Minecraft: Trial(s) Edition,adventure,minecraft_trials_edition,Overworld,
Crafters Crafting Crafters,adventure,crafters_crafting_crafters,Overworld,
Lighten Up,adventure,lighten_up,Overworld,
Who Needs Rockets?,adventure,who_needs_rockets,Overworld,
Under Lock and Key,adventure,under_lock_and_key,Overworld,
Revaulting,adventure,revaulting,Overworld,
Blowback,adventure,blowback,Overworld,
Over-Overkill,adventure,overoverkill,Overworld,
Husbandry,husbandry,root,Overworld,
Stay Hydrated!,husbandry,place_dried_ghast_in_water,Overworld,
Bee Our Guest,husbandry,safely_harvest_honey,Overworld,
The Parrots and the Bats,husbandry,breed_an_animal,Overworld,
You've Got a Friend in Me,husbandry,allay_deliver_item_to_player,Overworld,
Whatever Floats Your Goat!,husbandry,ride_a_boat_with_a_goat,Overworld,
Best Friends Forever,husbandry,tame_an_animal,Overworld,
Glow and Behold!,husbandry,make_a_sign_glow,Overworld,
Fishy Business,husbandry,fishy_business,Overworld,
Total Beelocation,husbandry,silk_touch_nest,Overworld,
Bukkit Bukkit,husbandry,tadpole_in_a_bucket,Overworld,
Smells Interesting,husbandry,obtain_sniffer_egg,Overworld,
A Seedy Place,husbandry,plant_seed,Overworld,
Wax On,husbandry,wax_on,Overworld,
Two by Two,husbandry,bred_all_animals,Overworld,
Birthday Song,husbandry,allay_deliver_cake_to_note_block,Overworld,
A Complete Catalogue,husbandry,complete_catalogue,Overworld,
Tactical Fishing,husbandry,tactical_fishing,Overworld,
When the Squad Hops into Town,husbandry,leash_all_frog_variants,Overworld,
Little Sniffs,husbandry,feed_snifflet,Overworld,
A Balanced Diet,husbandry,balanced_diet,Overworld,True
Serious Dedication,husbandry,obtain_netherite_hoe,Overworld,
Wax Off,husbandry,wax_off,Overworld,
The Cutest Predator,husbandry,axolotl_in_a_bucket,Overworld,
With Our Powers Combined!,husbandry,froglights,Overworld,
Planting the Past,husbandry,plant_any_sniffer_seed,Overworld,
The Healing Power of Friendship!,husbandry,kill_axolotl_target,Overworld,
Good as New,husbandry,repair_wolf_armor,Overworld,
The Whole Pack,husbandry,whole_pack,Overworld,
Shear Brilliance,husbandry,remove_wolf_armor,Overworld,
